word,meaning,sentence,category
baby,嬰兒,"My little sister is a cute baby.","1. People"
boy,男孩,"The boy is playing in the park.","1. People"
child,小孩,"Every child loves to play.","1. People"
girl,女孩,"The girl is reading a book.","1. People"
neighbor,鄰居,"My neighbor is very friendly.","1. People"
stranger,陌生人,"Don't talk to strangers.","1. People"
kid,小孩,"The kids are laughing.","1. People"
king,國王,"The king lives in a big castle.","1. People"
man,男人，人,"The man is wearing a hat.","1. People"
woman,女人,"The woman is cooking dinner.","1. People"
people,人們,"Many people came to the party.","1. People"
person,人,"That person is very kind.","1. People"
prince,王子,"The prince rides a white horse.","1. People"
queen,皇后,"The queen wears a crown.","1. People"
teenager,青少年,"My sister is a teenager.","1. People"
beautiful,美的,"The flower is beautiful.","1. People"
blind,瞎眼的,"He is blind and uses a stick.","1. People"
cute,可愛的,"The puppy is so cute.","1. People"
fat,胖的,"The cat is fat and fluffy.","1. People"
shy,害羞的,"She is shy and speaks quietly.","1. People"
heavy,重的,"This box is too heavy.","1. People"
old,老的,"My grandpa is old but strong.","1. People"
pretty,美麗的,"She looks pretty in that dress.","1. People"
short,矮；短的,"He is short for his age.","1. People"
smart,聰明的,"My brother is very smart.","1. People"
tall,高的,"The basketball player is tall.","1. People"
thin,瘦的,"She is thin and healthy.","1. People"
young,年輕的,"The young bird is learning to fly.","1. People"
angry,生氣的,"Dad looks angry today.","1. People"
bad,不好的,"Eating too much candy is bad.","1. People"
bored,感到無聊,"I feel bored on rainy days.","1. People"
boring,無聊的,"This movie is really boring.","1. People"
busy,忙的,"My mom is always busy.","1. People"
careful,小心的,"Be careful when you cross the street.","1. People"
cool,"涼爽的,酷的","The weather is cool today.","1. People"
crazy,瘋狂的,"That idea is crazy!","1. People"
excited,感到興奮,"I am excited about the trip.","1. People"
exciting,興奮的,"The game is very exciting.","1. People"
famous,有名的,"He is a famous singer.","1. People"
friendly,友善的,"Our neighbors are friendly.","1. People"
funny,好笑的,"He tells funny jokes.","1. People"
sad,難過的,"She feels sad after losing her toy.","1. People"
happy,快樂的,"We are happy to see you.","1. People"
hard-working,勤奮的,"My teacher is hard-working.","1. People"
honest,誠實的,"It is important to be honest.","1. People"
lovely,可愛的,"What a lovely dress!","1. People"
kind,仁慈的,"My grandmother is very kind.","1. People"
lazy,懶惰的,"He is lazy and sleeps all day.","1. People"
lonely,孤單的,"She feels lonely without her friends.","1. People"
interested,有趣的,"I am interested in science.","1. People"
rich,富有的,"He is rich and has a big house.","1. People"
nice,好的,"She is a nice person.","1. People"
polite,有禮貌的,"Always be polite to others.","1. People"
poor,窮的,"They are poor but happy.","1. People"
successful,成功的,"He is a successful businessman.","1. People"
ear,耳朵,"My ear hurts.","1. People"
eye,眼睛,"She has beautiful eyes.","1. People"
face,臉,"Please wash your face.","1. People"
hair,頭髮,"Her hair is long and black.","1. People"
lip,嘴唇,"She bit her lip.","1. People"
mouth,嘴吧,"Open your mouth wide.","1. People"
nose,鼻子,"He has a big nose.","1. People"
tooth,牙齒,"Brush your teeth twice a day.","1. People"
arm,手臂,"He raised his arm.","1. People"
leg,腿,"She hurt her leg.","1. People"
body,身體,"The body needs rest.","1. People"
