word,level,meaning,sentence
aboard,3,在(船、飛機、車)上,All passengers are now aboard the ship.
acceptable,3,可以接受的,Your explanation is acceptable to everyone.
accurate,3,準確的,The clock is very accurate.
ache,3,疼痛,My legs ache after the long walk.
achieve(ment),3,完成；達到,She worked hard to achieve her goal.
additional,3,附加的,We need additional chairs for the guests.
admire,3,欽佩；欣賞,I admire her courage and honesty.
advanced,3,先進的；高等的,This is a very advanced computer system.
advantage,3,有利條件；優勢,Speaking two languages is a great advantage.
adventure,3,冒險,They went on an exciting adventure in the mountains.
advertise(ment)/ad,3,為…做廣告,The company will advertise its new product on TV.
advise,3,勸告；忠告；通知,I advise you to see a doctor.
adviser/advisor,3,顧問,She works as a financial adviser.
afford,3,類得起；承擔得起,We cannot afford a new car this year.
afterward/afterwards,3,以後,We had dinner and went for a walk afterward.
agriculture,3,農業,Agriculture is important to the local economy.
airline,3,航線；航空公司,The airline lost my luggage.
alley,3,小巷子；小徑,The cat ran into a narrow alley.
alphabet,3,字母系統,Children learn the alphabet in school.
amaze(ment),3,使驚愕,The magician's trick amazed the audience.
ambassador,3,大使；使節,The ambassador met with the president.
ambition,3,抱負；志向,Her ambition is to become a doctor.
ambulance,3,救護車,The ambulance arrived in five minutes.
angel,3,天使,She looks like an angel in that dress.
announce(ment),3,宣布,The school will announce the winners tomorrow.
anxious,3,焦慮的,She felt anxious about the exam.
anyhow,3,無論如何,It was raining but we went out anyhow.
apart,3,分開的,The two houses are far apart.
apologize,3,道歉,He apologized for being late.
appeal,3,吸引；呼籲,The charity made an appeal for donations.
approve,3,同意；認可,My parents approve of my decision.
apron,3,圍裙；工作裙,She wore an apron while cooking.
armed,3,武裝的,The armed police surrounded the building.
arrest,3,逮捕；拘留,The police arrested the thief last night.
ash,3,灰燼；骨灰,The volcano covered the town with ash.
aside,3,在旁邊；除…之外,He stepped aside to let her pass.
assist,3,協助,The nurse assisted the doctor during surgery.
assistant,3,助理,The assistant answered the phone.
assume,3,假定；假裝,I assume you have finished your homework.
athlete,3,運動員,The athlete won a gold medal.
attitude,3,態度,His attitude toward work has changed.
attract,3,吸引；引誘,The flower attracts many bees.
attractive,3,有吸引力的,She is an attractive young woman.
audience,3,觀眾；聽眾,The audience clapped loudly.
automatic,3,自動的,The door is automatic and opens by itself.
automobile/auto,3,汽車,He bought a new automobile last week.
avenue,3,大道,They walked down a wide avenue.
awake,3,清醒的；喚醒,I was awake all night.
awaken,3,意識到；使覺醒,The noise awakened the baby.
award,3,授予；獎品,She received an award for her bravery.
awful,3,糟透的,The weather was awful yesterday.
awkward,3,笨拙的；棘手的,He felt awkward at the party.
background,3,背景,She has a background in law.
bacon,3,燻豬肉；培根肉,He cooked bacon and eggs for breakfast.
bacteria,3,細菌,Some bacteria are good for your health.
baggage,3,行李；裝備,Please keep your baggage with you.
bait,3,誘餌；引誘,He used worms as bait for fishing.
bamboo,3,竹子,Pandas eat bamboo every day.
banker,3,銀行家,The banker approved the loan.
bare,3,裸的；不加掩飾的,The trees were bare in winter.
barely,3,勉強地；露骨地,She barely passed the test.
barrel,3,大桶,They stored oil in a large barrel.
basement,3,地下室,We keep old boxes in the basement.
bay,3,海灣,The boat sailed into a quiet bay.
beam,3,樑；光束,A beam of light came through the window.
beast,3,野獸,The lion is a wild beast.
beneath,3,在…下面,The cat hid beneath the table.
benefit,3,利益；有益於,Exercise benefits your health.
berry,3,果,She picked a ripe berry from the bush.
besides,3,除此之外,Besides English she also speaks French.
bet,3,打賭,I bet you cannot finish it today.
bind,3,捆；綁,They bind the books with strong string.
bitter,3,有苦味的；痛苦的,The medicine tasted bitter.
bleed,3,流血,His nose began to bleed.
bless,3,為…祝福,The priest blessed the new house.
bloody,3,血腥的,The scene of the accident was bloody.
bold,3,英勇的；大膽的,It was a bold decision to quit his job.
bomb,3,炸彈；轟炸,The bomb exploded in an empty field.
bookcase,3,書架；書櫥,He put the books on the bookcase.
boot,3,長筒)靴,She wore a pair of black boots.
bore,3,使厭煩,The long speech bored the students.
bowling,3,保齡球,We go bowling every Friday night.
brake,3,煞車,He hit the brake to avoid the dog.
bravery,3,勇敢；勇氣,The firefighter showed great bravery.
breast,3,胸部,The bird has a red breast.
breath,3,呼吸,Take a deep breath and relax.
breathe,3,呼吸,It is hard to breathe in this thick smoke.
breeze,3,微風；和風,A cool breeze blew through the window.
brick,3,磚,The house is made of red brick.
bride,3,新娘子,The bride looked beautiful in her white dress.
broadcast,3,廣播；播放,The match will be broadcast live.
bubble,3,氣泡；泡影,Children love to blow bubbles.
bucket,3,水桶；桶狀物,He filled the bucket with water.
bud,3,芽；發芽,The flower bud will open soon.
budget,3,預算,We must stay within our budget.
buffalo,3,水牛,A buffalo is a large wild animal.
buffet,3,自助餐；快餐,We had lunch at a buffet restaurant.
bulb,3,球莖(根),She planted tulip bulbs in the garden.
bull,3,未閹割的) 公牛,The bull ran across the field.
bullet,3,子彈,The bullet missed him by inches.
bump,3,碰；重擊,I bumped my head on the door.
bunch,3,一束；一群,He gave her a bunch of flowers.
bundle,3,捆；包裹,She carried a bundle of clothes.
bury,3,埋,The dog buried its bone in the garden.
bush,3,灌木叢,A small bird hid in the bush.
cabin,3,客艙,We stayed in a wooden cabin near the lake.
cable,3,電纜；有線電視,The cable provides internet and TV.
cafeteria,3,自助餐館,We ate lunch in the school cafeteria.
campus,3,大學的) 校園,The university campus is very large.
canyon,3,峽谷,The canyon is deep and wide.
capable,3,有能力的,She is capable of doing the job alone.
captain,3,隊長；船(艦)長,The captain led the team to victory.
capture,3,捕獲；獲物,The police captured the escaped prisoner.
career,3,職業,She has a successful career in music.
carpenter,3,木匠,The carpenter built a wooden table.
carpet,3,地毯,They put a soft carpet on the floor.
carriage,3,四輪馬車；運輸,The carriage was pulled by two horses.
cart,3,貨車；載運,He pushed the cart through the store.
cast,3,投；演員陣容,The play has a strong cast.
casual,3,偶然的；碰巧的,He wore casual clothes to the party.
cattle,3,牛；牲口,The farmer keeps cattle on his land.
cave,3,洞穴,They explored a dark cave.
champion,3,優勝者；戰士,She became the world champion.
charm,3,魅力；使陶醉,His charm made him popular.
chat,3,聊天,We had a nice chat over coffee.
cheek,3,臉頰,The baby has soft cheeks.
cheerful,3,興高采烈的,She is always cheerful and friendly.
cherry,3,櫻桃,The cherry trees are full of fruit.
chest,3,胸膛；箱子,He put the treasure in a wooden chest.
chill,3,使)變冷；寒冷的,There is a chill in the air tonight.
chilly,3,冷颼颼的,It was chilly outside this morning.
