word,level,meaning,sentence
abide,6,遵守,You must abide by the rules of the game.
aboriginal,6,原住民的,The Aboriginal people have lived here for thousands of years.
abstraction,6,心不在焉／抽象概念,The idea is too much of an abstraction for young children.
abundance,6,豐富,There is an abundance of fresh fruit in summer.
accessory,6,附件,This scarf is a useful accessory for winter.
acclaim,6,歡呼；歡呼聲,The film won critical acclaim around the world.
accordingly,6,因此,The situation changed, and we acted accordingly.
accountable,6,負有責任的,Managers are accountable for their team's results.,
accumulate,6,積累,Dust can accumulate quickly on old books.,
accumulation,6,累積,The accumulation of snow blocked the road.,
accusation,6,控訴,He denied the accusation of cheating.,
accustom,6,使習慣,It takes time to accustom yourself to a new job.,
acre,6,英畝,They bought a ten-acre farm in the countryside.,
adaptation,6,適應；改編(本),The movie is an adaptation of a famous novel.,
addiction,6,耽溺,He is receiving treatment for his addiction to gambling.,
admiral,6,海軍將官,The admiral commanded the fleet in the Pacific.,
adolescence,6,青春期,Many changes happen during adolescence.,
advisory,6,提供忠告的,The company issued an advisory about the storm.,
aesthetic,6,美感的,The building has great aesthetic value.,
airway,6,航空公司；航線,The airline opened a new airway to Europe.,
algebra,6,代數,Algebra is a branch of mathematics.,
alienate,6,使不和,His rude behavior alienated his friends.,
allege,6,聲稱,The police allege that he stole the money.,
altitude,6,高度,The plane is flying at a high altitude.,
aluminum,6,鋁,The cans are made of aluminum.,
ambiguity,6,意義含糊,The ambiguity of his answer confused us.,
amid/amidst,6,在…當中,She smiled amid the noisy crowd.,
analogy,6,相似,He drew an analogy between the heart and a pump.,
anthem,6,聖歌,The national anthem was played before the game.,
antibiotic,6,抗生素,The doctor prescribed an antibiotic for the infection.,
anticipation,6,期盼,The children waited in anticipation of the trip.,
applaud,6,鼓掌,The audience applauded the singer warmly.,
applicable,6,適用的,This rule is not applicable to children.,
apprentice,6,學徒,He worked as an apprentice to a carpenter.,
archaeology,6,考古學,She studied archaeology at university.,
archive,6,檔案,The old letters are kept in the archive.,
arithmetic,6,算術的,He is good at mental arithmetic.,
assassinate,6,行刺,They plotted to assassinate the king.,
astronaut,6,太空人,The astronaut walked on the moon.,
astronomy,6,天文學,He has been interested in astronomy since childhood.,
attendant,6,服務員,The flight attendant served us drinks.,
auditorium,6,禮堂,The concert was held in the school auditorium.,
aviation,6,航空(學),He works in the aviation industry.,
bachelor,6,單身漢；學士,He earned a bachelor's degree in history.,
banquet,6,宴會,The wedding banquet was held in a large hall.,
barbarian,6,野蠻人,The barbarian tribes attacked the village.,
bass,6,低音部,He sings bass in the choir.,
batter,6,毀損,The waves battered the small boat.,
beautify,6,美化,They planted flowers to beautify the park.,
beverage,6,飲料,Coffee is a popular beverage around the world.,
blaze,6,烈火；光輝,The blaze destroyed the old barn.,
bodily,6,身體的,He suffered bodily harm in the accident.,
boulevard,6,林蔭大道,They walked along a wide boulevard.,
boxing,6,拳擊,Boxing is a tough and dangerous sport.,
boycott,6,抵制,The group decided to boycott the company's products.,
brace,6,支撐物,He wore a brace on his injured knee.,
breakdown,6,故障,The car had a breakdown on the highway.,
broaden,6,加寬,Travel can broaden your mind.,
brochure,6,小冊子,The travel agency gave us a colorful brochure.,
brook,6,小河,A clear brook runs through the forest.,
calculator,6,計算機,She used a calculator to solve the math problem.,
cape,6,披肩；海角,The hero wore a red cape.,
caption,6,說明文字,The caption under the photo explained the scene.,
captive,6,被俘虜的,The captive soldiers were held in a camp.,
captivity,6,囚禁,The wild animal was kept in captivity.,
cardinal,6,紅衣主教,The cardinal led the religious ceremony.,
carefree,6,無憂無慮的,She lived a carefree life in the countryside.,
cashier,6,出納員,The cashier counted the money carefully.,
casualty,6,傷亡者,The accident caused several casualties.,
catastrophe,6,災難,The flood was a terrible catastrophe.,
cater,6,承包伙食,The hotel will cater the wedding.,
caterpillar,6,毛蟲,A caterpillar will become a butterfly.,
census,6,調查,The government takes a census every ten years.,
ceramic,6,陶器(藝)的,She bought a set of ceramic cups.,
champagne,6,香檳,They celebrated with a bottle of champagne.,
charitable,6,仁慈的,She is charitable to those in need.,
checkup,6,檢查,He went to the doctor for a regular checkup.,
chemist,6,化學家,The chemist developed a new medicine.,
chimpanzee,6,黑猩猩,The chimpanzee is a clever animal.,
cholesterol,6,膽固醇,Eating too much fat can raise your cholesterol.,
cigar,6,雪茄,He smoked a cigar after dinner.,
civilize,6,使開化,The teacher tried to civilize the wild children.,
climax,6,高潮,The movie reaches its climax in the final scene.,
clockwise,6,順時針方向的,Turn the knob clockwise to open the door.,
